Component,Check List,Check List Enum,Check List Like,Check List Like Enum,Check List Strict,Check List Enum Strict,Check Regex List,Check Regex List Like,Check Regex List Strict,Check Regex Single,Check Regex Format,Check Regex Integer,Check Num,Check Float,Check Int,Check String,Check URL,Check Match at Least,Check Match at Least values,Check Match Exactly,Check Match Exactly values,Check Match None,Check Match None values,Check Recommended,Check Ages,Check Unique,Check Range,Check Date,Check NA,Id,entityId
MockComponent,"a,m,f","ab,cd",ab,ab,"ab,cd","ab,cd,ef","a,b,c",a,"a,b,c",test,"a,b,c,d",0,1.2,0.1,0,test,https://www.google.com/,test,1000,2000,9000,200,200,,6571,200,50,01/22/2005,1,2be2404f-d142-4d66-8f52-98a40d6b19c8,
MockComponent,"a,m,f","ab,cd",cd,ef,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",test,"a,b,c,d",2,1.341592608,2.1,-2,test,https://www.google.com/,test,1200,300,9001,1,1,,6571,1,51,01/23/2005,1,145ecbcf-2898-43f6-8d69-54ca07ceee21,
MockComponent,"a,m,f","ab,cd","ab,ef",cd,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",test,"a,b,c,d",100,-2.3,3.4,-100,test,https://www.google.com/,test,1300,300,300,3,3,,6571,3,52,01/24/2005,1,a1c82cfa-504a-46fa-ac7d-d15a91f3e9b3,
MockComponent,"a,m,f","ab,cd","ab,ef",ab,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",apple,"a,b,c,d",100,100.3,5.166666667,100,apple,https://www.google.com/,apple,1400,300,9000,4,4,,6571,4,53,01/25/2005,1,54d5c2e8-f2e9-4cd2-bc71-e076d83ec7af,
MockComponent,"a,m,f","ab,cd","ab,ef",ef,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",orange,"a,b,c,d",4,4.5,6.816666667,4,orange,https://www.google.com/,orange,1500,300,200,5,5,,6571,5,54,01/26/2005,1,8e70df0c-c7cc-4dea-925d-f78174a51812,
MockComponent,"a,m,f","ab,cd","ab,ef",cd,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",test,"a,b,c,d",5,6.8,8.466666667,5,test,https://www.google.com/,test,1600,300,300,10,10,,6571,10,55,01/27/2005,1,3b14bdcb-7745-4e07-a04f-582d049dea1e,
MockComponent,"a,m,f","ab,cd","ab,ef",ab,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",test,"a,b,c,d",10,10.2,10.11666667,10,test,https://www.google.com/,test,1700,300,300,100,100,,6571,100,56,01/28/2005,1,54d390c8-7675-4ac3-8ed1-85c8bd75ccea,
MockComponent,"a,m,f","ab,cd","ab,ef",ef,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",test,"a,b,c,d",9,9,11.76666667,9,test,https://www.google.com/,test,1800,300,300,102,102,,6571,102,57,01/29/2005,1,f3322c4b-a16a-4124-8729-136f8189d11a,
MockComponent,"a,m,f","ab,cd","ab,ef",cd,"ab,cd","ab,cd,ef","a,b,c","a,c","a,b,c",apple,"a,b,c,d",6,6,13.41666667,6,apple,https://www.google.com/,apple,1900,300,300,104,104,,6571,104,58,01/30/2005,1,2ed8dc69-0be4-41e3-b01f-52a463013cf9,
MockComponent,"a,m,f","ab,cd","ab,ef",ab,"ab,cd","ab,cd,ef","d,e","a,c","d,e",orange,"a,b,c,d",8,8,15.06666667,8,orange,https://www.google.com/,orange,2000,300,300,109,109,,6571,109,59,01/31/2005,1,f422bd9a-abed-44b7-ad28-02872ed4f821,
MockComponent,"a,m,f","ab,cd","ab,ef",ef,"ab,cd","ab,cd,ef","d,e","a,c","d,e",test,"a,b,c,d",9,9,16.71666667,9,test,https://www.google.com/,test,2100,300,300,110,110,,6571,110,60,02/01/2005,1,c7335aec-3847-40ef-a3d3-534b00b0332e,
MockComponent,"a,m,f","ab,cd","ab,ef",cd,"ab,cd","ab,cd,ef","d,e","a,c","d,e",test,"a,b,c,d",0,0,18.36666667,0,test,https://www.google.com/,test,2200,300,300,111,111,,6571,111,61,02/02/2005,1,61729464-acb7-41f3-96ac-1a2ad7ab4047,
MockComponent,"a,m,f","ab,cd","ab,ef",ab,"ab,cd","ab,cd,ef","d,e","a,c","d,e",test,"a,b,c,d",1,1,20.01666667,1,test,https://www.google.com/,test,2300,300,300,120,120,,6571,120,62,02/03/2005,1,847552fb-0f5b-4a42-b50b-03f38a59314f,
MockComponent,"a,m,f","ab,cd","ab,ef",ef,"ab,cd","ab,cd,ef","d,e","a,c","d,e",apple,"a,b,c,d",2,2,21.66666667,2,apple,https://www.google.com/,apple,2400,300,300,130,130,,6571,130,63,02/04/2005,1,11544bf0-7027-46b9-aa97-efb5e669789f,
